CNPJ_Emissora,Codigo_Identificacao_Certificado,Data_Referencia,Versao,Tipo,CNPJ,Percentual,_tipo_certificado
02.736.470/0001-43,BRNOOSCRI0A5,2025-01-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-01-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-02-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-02-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-03-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-03-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-04-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-04-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-05-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-05-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-06-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-06-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-07-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-07-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-08-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-08-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-09-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-09-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-10-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-10-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-11-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-11-01,1,Devedor,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-12-01,1,Cedente,22059167000160,1.0,CRI
02.736.470/0001-43,BRNOOSCRI0A5,2025-12-01,1,Devedor,22059167000160,1.0,CRI
02.773.542/0001-22,09H0003225,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-04-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-04-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-05-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-05-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-06-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-06-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-11-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-11-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,09H0003225,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-04-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-04-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-05-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-05-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-06-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-06-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-11-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-11-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11F0042226,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-04-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-04-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-05-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-05-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-06-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-06-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-11-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-11-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,11I0025628,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-04-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-04-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-05-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-05-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-06-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-06-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-11-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-11-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,12L0018386,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-04-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-04-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-05-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-05-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-06-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-06-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-11-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-11-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13A0016692,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-04-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-04-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-05-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-05-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-06-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-06-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-07-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-07-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-08-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-08-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-09-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-09-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-10-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-10-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-11-01,2,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-11-01,2,Devedor,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-12-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13I0117184,2025-12-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-01-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-01-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-02-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-02-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-03-01,1,Cedente,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-03-01,1,Devedor,0,0.0,CRI
02.773.542/0001-22,13J0119962,2025-04-01,2,Cedente,0,0.0,CRI
