CNPJ_Emissora,Codigo_Identificacao_Certificado,Codigo_ISIN,Codigo_CETIP,Data_Vencimento,Taxa_Juros,Situacao,_tipo_certificado
02.105.040/0001-23,14G0412569,14G0412569,14G0412569,2023-12-10,"IGP-M + 8,5%",Em atraso,CRI
02.105.040/0001-23,14G0412569,14G0412570,14G0412570,2024-04-28,"IGP-M + 8,5%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI008,BRCBSCCRI008,18J0698011,2028-05-15,IPCA + 9%,Adimplente,CRI
02.105.040/0001-23,BRCBSCCRI0M2,BRCBSCCRI0M2,10B0025005,2023-05-05,"IGP-M + 11,0%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI0P5,BRCBSCCRI0P5,10E0027441,2023-07-05,"IPCA + 11,0%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI0T7,BRCBSCCRI0T7,10F0026396,2023-09-30,"IPCA + 11,0%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI0X9,BRCBSCCRI0X9,09L0003047,2023-11-03,"IGP-M + 8,75%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI180,BRCBSCCRI180,11A0030612,2026-06-30,"IGP-M + 11,0%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI1G2,BRCBSCCRI1G2,11H0026995,2019-04-15,"IGP-M + 8,58%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI1G2,BRCBSCCRI1H0,11H0027010,2019-04-15,"IGP-M + 33,317511%",Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI1M0,BRCBSCCRI1M0,11L0019692,2031-12-01,"TR + 6,38%",Adimplente,CRI
02.105.040/0001-23,BRCBSCCRI1Q1,BRCBSCCRI1Q1,12B0036959,2015-12-03,DI + 150%,Em atraso,CRI
02.105.040/0001-23,BRCBSCCRI1Z2,BRCBSCCRI1Z2,12L0006878,2032-07-01,"TR + 6,5685%",Adimplente,CRI
02.105.040/0001-23,BRCBSCCRI1Z2,BRCBSCCRI206,12L0006882,2032-07-01,"Até 01/12/2016, 1,424,44% + TR / Após 01/12/2016,",Adimplente,CRI
