CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
02.105.040/0001-23,14G0412569,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Promessa de Compra e Venda,2.0,DIR714,2014-07-21,CRI
02.105.040/0001-23,BRCBSCCRI008,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de PPP,2.0,CAN1018,2018-10-22,CRI
02.105.040/0001-23,BRCBSCCRI0M2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0310,2010-02-05,CRI
02.105.040/0001-23,BRCBSCCRI0P5,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0510,2010-05-05,CRI
02.105.040/0001-23,BRCBSCCRI0T7,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e venda.,2.0,URB0610,2010-06-30,CRI
02.105.040/0001-23,BRCBSCCRI0X9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,DIR0509,2009-12-03,CRI
02.105.040/0001-23,BRCBSCCRI180,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0111,2011-01-31,CRI
02.105.040/0001-23,BRCBSCCRI1G2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de compra e venda,2.0,TRK811N,2011-08-15,CRI
02.105.040/0001-23,BRCBSCCRI1M0,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,STD1211,2011-12-14,CRI
02.105.040/0001-23,BRCBSCCRI1Q1,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCI,2.0,BVA0212,2012-02-13,CRI
02.105.040/0001-23,BRCBSCCRI1Z2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BAN1212,2012-12-04,CRI
02.105.040/0001-23,BRCBSCCRI222,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,CAM1212,2012-12-28,CRI
02.105.040/0001-23,BRCBSCCRI2H8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,MXM0313,2013-03-22,CRI
02.105.040/0001-23,BRCBSCCRI2O4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,WEL0713,2013-07-26,CRI
02.105.040/0001-23,BRCBSCCRI362,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,PET0214,2014-02-26,CRI
02.105.040/0001-23,BRCBSCCRI370,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,PET0314,2014-03-26,CRI
02.105.040/0001-23,BRCBSCCRI3B9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,PAT1214,2014-12-18,CRI
02.105.040/0001-23,BRCBSCCRI3F0,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,AMB0215,2015-02-05,CRI
02.105.040/0001-23,BRCBSCCRI3J2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,LRZ0615,2015-06-22,CRI
02.105.040/0001-23,BRCBSCCRI3K0,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,aluguel,2.0,TOT0815,2015-08-01,CRI
02.105.040/0001-23,BRCBSCCRI3L8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,BRA915,2015-09-01,CRI
02.105.040/0001-23,BRCBSCCRI3N4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,REI0915,2015-09-14,CRI
02.105.040/0001-23,BRCBSCCRI3P9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,CEF0416,2016-04-19,CRI
02.105.040/0001-23,BRCBSCCRI3S3,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BRA0416,2016-04-22,CRI
02.105.040/0001-23,BRCBSCCRI3V7,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,FRI0616,2016-06-21,CRI
02.105.040/0001-23,BRCBSCCRI3Z8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,CEF1016,2016-10-21,CRI
02.105.040/0001-23,BRCBSCCRI420,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BRA1116,2016-10-21,CRI
02.105.040/0001-23,BRCBSCCRI4D3,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,WTR1017,2017-10-23,CRI
02.105.040/0001-23,BRCBSCCRI4G6,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI318B,2018-03-20,CRI
02.105.040/0001-23,BRCBSCCRI4H4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI318C,2018-03-20,CRI
02.105.040/0001-23,BRCBSCCRI4M4,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,Debênture,2.0,SCA0519,2019-05-21,CRI
02.105.040/0001-23,BRCBSCCRI4N2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI0919,2019-09-19,CRI
