name,title,cusip,isin,lei,inv_country,issuer_country,asset_cat,val_usd,pct_val,maturity,coupon,currency,is_default,units,manager,manager_cik,fund_name,fund_series_id,total_assets,filing_date
BXP Inc,"Boston Properties, Inc. COM USD0.01",101121101,,549300OF70FSEUQBT254,US,,EC,86353.47,0.0143285764,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
Ralph Lauren Corp.,Ralph Lauren Corporation COM USD0.01 CLASS 'A',751212101,,HO1QNWM0IXBZ0QSMMO20,US,,EC,102610.86,0.0170261548,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
BXP Inc,"Boston Properties, Inc. COM USD0.01",101121101,,549300OF70FSEUQBT254,US,,EC,445008.69,0.8143945348,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
Natural Grocers By Vitamin Cottage Inc.,NATURAL GROCERS BY VITAMIN C,63888U108,,529900P4OTXDGBUS3O87,US,,EC,193053.44,0.6629729831,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
Ralph Lauren Corp.,Ralph Lauren Corporation COM USD0.01 CLASS 'A',751212101,,HO1QNWM0IXBZ0QSMMO20,US,,EC,297923.12,0.4921891462,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
Ralph Lauren Corp.,Ralph Lauren Corporation COM USD0.01 CLASS 'A',751212101,,HO1QNWM0IXBZ0QSMMO20,US,,EC,51465.26,0.1968199558,,,USD,,NS,Direxion Shares ETF Trust,0001424958,Direxion Shares ETF Trust,,0,2025-12-29
"United Natural Foods, Inc.","United Natural Foods, Inc.",911163AA1,,549300GKGW6WPZ282D40,US,,DBT,27065605.72,0.241888959316,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Suzano Austria GmbH,Suzano Austria GmbH,86964WAJ1,,254900287ZNSGVP1R341,AT,,DBT,2986147.43,0.187278298087,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Suzano Austria GmbH,"Suzano Austria GmbH, Series DM3N",86964WAK8,,254900287ZNSGVP1R341,AT,,DBT,628132.75,0.039393779158,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Rede D'or Finance SARL,Rede D'or Finance SARL,75735GAC2,,549300FDE772OLJUCP79,LU,,DBT,409209.91,0.025663882076,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,75102XAC0,,52990010NH26VC32Q522,LU,,DBT,1918190.5,0.120300641769,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,N/A,,52990010NH26VC32Q522,LU,,DBT,163000.0,0.010222657555,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Samarco Mineracao SA,Samarco Mineracao SA,N/A,,529900U8HKV15GJC4O60,BR,,DBT,2675023.84,0.167765967301,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Banco Bradesco SA,Banco Bradesco SA,05947KBB5,,549300CTUU1RFXHQJE44,KY,,DBT,472248.0,0.029617359419,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Usiminas International SARL,Usiminas International SARL,91734JAB6,,529900KLYX6QPXVIVP43,LU,,DBT,307063.57,0.019257703828,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,N/A,,52990010NH26VC32Q522,LU,,DBT,572025.0,0.035874942873,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
European Bank for Reconstruction & Development,European Bank for Reconstruction & Development,N/A,,549300HTGDOVDU6OGK19,BR,,DBT,611239.79,0.038334325507,,,,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,N/A,,52990010NH26VC32Q522,LU,,DBT,520700.06,0.03265606382,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,N/A,,52990010NH26VC32Q522,LU,,DBT,185344.5,0.011624008302,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Banco BTG Pactual SA,Banco BTG Pactual SA,05971BAL3,,2549002JHJ73KGETOK78,BR,,DBT,827225.0,0.051879987096,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Axia Energia,Axia Energia,15234VAA5,,254900I8KYDELP4B4Z08,BR,,DBT,624780.0,0.039183509127,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
International Finance Corp.,International Finance Corp.,N/A,,QKL54NQY28TCDAI75F60,BR,,DBT,685064.0,0.042964261815,,,,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Suzano Austria GmbH,Suzano Austria GmbH,86964WAJ1,,254900287ZNSGVP1R341,AT,,DBT,1132188.6,0.103117669769,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Braskem Netherlands Finance BV,Braskem Netherlands Finance BV,10554TAB1,,2549000TLMHFQ74DS330,NL,,DBT,696890.0,0.063471468344,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Samarco Mineracao SA,Samarco Mineracao SA,N/A,,529900U8HKV15GJC4O60,BR,,DBT,388352.63,0.035370448222,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Minerva Luxembourg SA,Minerva Luxembourg SA,603374AH2,,222100NM3G3RCPGZ2Z17,LU,,DBT,1338308.83,0.121890723843,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Federative Republic of Brazil,Brazil Government Bond,105756CH1,,254900ZFY40OYEADAP90,BR,,DBT,505450.0,0.896937401891,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Federative Republic of Brazil,Brazil Government Bond,105756CJ7,,254900ZFY40OYEADAP90,BR,,DBT,499670.0,0.886680604615,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
Raizen Fuels Finance SA,Raizen Fuels Finance SA,N/A,,52990010NH26VC32Q522,LU,,DBT,502500.0,0.891702531309,,,USD,,PA,NEW YORK LIFE INVESTMENTS FUNDS,0000787441,NEW YORK LIFE INVESTMENTS FUNDS,,0,2026-03-26
